Subtype	Sample	Kinase	Activity
SI	P001	HIPK1	7.322637122626974e-12
SII	P002	HIPK1	2.5341346156114703e-10
SI	P003	HIPK1	0.0022821297119029397
SII	P004	HIPK1	9.738058268502098e-05
SII	P005	HIPK1	0.15243457652859582
SI	P006	HIPK1	2.9799485945974863e-25
SII	P007	HIPK1	7.42143827282036e-10
SII	P008	HIPK1	1.4432806535718563e-14
SII	P009	HIPK1	0.26133448835706097
SI	P010	HIPK1	0.00795763049072636
SII	P011	HIPK1	0.00017446680585716062
SII	P012	HIPK1	0.0027210400781275965
SI	P013	HIPK1	1.2584465858863003e-06
SI	P014	HIPK1	5.437538455311747e-23
SI	P015	HIPK1	6.508787300523069e-08
SI	P016	HIPK1	7.29951213951939e-06
SI	P017	HIPK1	0.00011116005924796783
SI	P018	HIPK1	1.2708699021574863e-11
SI	P019	HIPK1	1.5409497166393538e-05
SI	P020	HIPK1	1.1728729578407967e-08
SI	P021	HIPK1	4.4480570240543204e-08
SII	P022	HIPK1	5.3400156900140866e-08
SI	P023	HIPK1	3.633020220198281e-06
SII	P025	HIPK1	1.8498117375577006e-06
SI	P026	HIPK1	4.897986394930924e-14
SII	P027	HIPK1	0.00011778164513946849
SII	P028	HIPK1	0.2635250182497102
SI	P029	HIPK1	5.413586704669495e-08
SI	P030	HIPK1	3.3115017212697416e-08
SII	P031	HIPK1	1.9122516644270197e-08
SIII	P032	HIPK1	8.607853829008839e-06
SII	P033	HIPK1	8.720840638515647e-06
SI	P034	HIPK1	3.84234758644666e-11
SIII	P035	HIPK1	3.7631577953151853e-06
SI	P036	HIPK1	1.416258683055883e-24
SII	P037	HIPK1	0.00010304997142579086
SII	P038	HIPK1	0.0003944960471397345
SI	P039	HIPK1	4.2859493479760754e-08
SI	P040	HIPK1	7.004947209050468e-23
SI	P041	HIPK1	8.652496092316716e-07
SII	P042	HIPK1	0.0010670551513315802
SII	P043	HIPK1	1.540575150949225e-11
SII	P044	HIPK1	1.7297721371179925e-06
SI	P046	HIPK1	4.258123044671146e-14
SI	P047	HIPK1	9.790162994695846e-10
SI	P048	HIPK1	7.188527050383201e-10
SI	P049	HIPK1	0.15494261381193344
SI	P050	HIPK1	5.481592764167496e-14
SII	P051	HIPK1	5.718408269926626e-16
SIII	P052	HIPK1	0.0002454569934937841
SI	P053	HIPK1	6.643050845546833e-09
SII	P054	HIPK1	0.0035572808684785438
SII	P055	HIPK1	1.2550881427731447e-05
SI	P056	HIPK1	3.475128103114747e-09
SI	P057	HIPK1	0.006414634831274991
SI	P058	HIPK1	5.996275301469462e-05
SI	P059	HIPK1	0.010986840755700824
SI	P060	HIPK1	1.0867410310126132e-14
SII	P061	HIPK1	0.0008332184940885037
SI	P062	HIPK1	5.45396837919105e-07
SI	P063	HIPK1	2.0196795692499465e-10
SI	P064	HIPK1	1.963754607453301e-06
SI	P065	HIPK1	1.3439871843867688e-10
SI	P066	HIPK1	2.0244899963155593e-13
SI	P067	HIPK1	1.3409511255322674e-13
SI	P068	HIPK1	5.202226611661193e-11
SI	P069	HIPK1	6.44591842991212e-08
SII	P070	HIPK1	0.004154724625061929
SII	P071	HIPK1	2.2181231606456467e-07
SIII	P072	HIPK1	2.627568394330057e-05
SIII	P073	HIPK1	0.009516011418660921
SIII	P074	HIPK1	0.00014106837871456207
SIII	P075	HIPK1	0.35719321067236465
SIII	P076	HIPK1	0.0013541103069496317
SII	P077	HIPK1	6.431663273489529e-07
SII	P078	HIPK1	2.3440820152211803e-05
SIII	P079	HIPK1	5.610563764256274e-06
SI	P080	HIPK1	4.5434121329033516e-05
SII	P081	HIPK1	2.146331429895424e-09
SI	P082	HIPK1	4.033507994196788e-11
SIII	P083	HIPK1	0.0034697342839310192
SIII	P084	HIPK1	0.0035439757493489128
SIII	P085	HIPK1	0.051034608127529676
SIII	P086	HIPK1	0.7871980408209337
SI	P087	HIPK1	6.952843233240425e-06
SII	P088	HIPK1	0.37578631196817636
SIII	P089	HIPK1	2.166317790601153e-06
SI	P090	HIPK1	1.0812658251261976e-05
SIII	P091	HIPK1	6.75137211394808e-08
SIII	P092	HIPK1	0.09829884238478202
SIII	P093	HIPK1	0.19007281519108543
SIII	P094	HIPK1	0.008189732851613526
SII	P095	HIPK1	0.021743039135520406
SI	P096	HIPK1	1.2828180608188405e-12
SIII	P097	HIPK1	2.553128657515124e-08
SIII	P098	HIPK1	8.913878808640141e-13
SII	P099	HIPK1	0.12193687104174225
SIII	P100	HIPK1	0.00020002905175476045
SIII	P101	HIPK1	0.0005788473262859962
SI	P102	HIPK1	3.6127713847111296e-07
SI	P104	HIPK1	1.2153828426772037e-12
SI	P105	HIPK1	1.3390856010697087e-13
SI	P106	HIPK1	2.493401159262515e-11
SIII	P107	HIPK1	0.27773341580266586
SI	P108	HIPK1	2.101938478595465e-06
SII	P109	HIPK1	0.00018028170509870955
SII	P110	HIPK1	0.43935728437052257
SI	P111	HIPK1	1.3153142672744901e-08
SIII	P112	HIPK1	0.9755245944647747
SI	P113	HIPK1	1.2088192390529952e-07
SI	P114	HIPK1	3.728010842075935e-11
